SUSTANCIA ACTIVA,Función,"Directiva/
Reglamento",Inclusión,Caducidad,"Principios
Uniformes",Condiciones Anexo A
"Metaldehido
Prórroga
Prórroga",ML,"2011/54/UE
2018/1266
2023/918",1/6/2011,"31/5/2021
31/05/2023
31/08/2026",31/5/2015,--
"Metalaxyl
Prórroga
Prórroga",FU,"2010/28/UE
2017/2069
2023/918",1/7/2010,"30/06/2020
30/06/2023
30/09/2026",14/6/2014,Candidata a la sustitución
"Metalaxyl-M
Prórroga
Prórroga
Prórroga
Prórroga
Prórroga
Prórroga
Renovación",FU,"2002/64/CE
2010/77/UE
1885/2016
2016/549
2017/841
2018/917
2019/707
2020/617","1/10/2002
01/06/2020","30/6/2018
30/6/2019
30/06/2020
31/05/2035","31/3/2003
01/09/2020","Las semillas tratadas con
productos fitosanitarios que
contengan metalaxilo-M se
sembrarán exclusivamente en
invernaderos, a partir del
01/06/2021"
Metam,"NE,FU,HB,IN",359/2012,1/7/2012,30/6/2022,30/6/2016,"Solo los usos como nematicida,
fungicida, herbicida e insecticida
para su aplicación como agente
fumigante del suelo antes de la
plantación, limitadas a 1
aplicación cada 3 años en un
mismo campo.
Podrán autorizarse la aplicación
en campo abierto por inyección en
el suelo o riego por goteo y en
invernadero mediante riego por
goteo únicamente. Se prescribirá
el uso de una película de plástico
estanca a los gases para el riego
por goteo.
La tasa de aplicación máxima será
153 kg/ha (correspondiente a 86,3
kg/ha de MITC) en el caso de las
aplicaciones en campo."
